iter	Passed	Remaining
0	135	135115
1	137	68707
2	139	46524
3	142	35387
4	144	28774
5	147	24364
6	149	21147
7	151	18760
8	153	16893
9	155	15413
10	157	14154
11	159	13129
12	161	12295
13	164	11579
14	166	10931
15	168	10350
16	170	9830
17	171	9363
18	173	8951
19	175	8579
20	177	8278
21	179	7989
22	182	7766
23	184	7516
24	186	7274
25	188	7060
26	190	6848
27	192	6697
28	195	6535
29	196	6369
30	198	6215
31	201	6082
32	203	5949
33	204	5815
34	206	5695
35	208	5593
36	210	5487
37	212	5380
38	214	5283
39	216	5190
40	218	5103
41	219	5015
42	222	4945
43	224	4874
44	226	4799
45	228	4730
46	229	4662
47	231	4592
48	233	4533
49	235	4465
50	236	4407
51	239	4363
52	241	4318
53	243	4262
54	244	4206
55	246	4162
56	248	4110
57	250	4061
58	251	4016
59	254	3985
60	256	3948
61	258	3904
62	260	3872
63	261	3830
64	263	3792
65	265	3755
66	267	3729
67	268	3682
68	270	3653
69	273	3630
70	275	3603
71	277	3579
72	280	3555
73	282	3530
74	284	3514
75	287	3496
76	289	3470
77	291	3448
78	293	3425
79	295	3399
80	297	3372
81	301	3371
82	303	3351
83	306	3339
84	307	3312
85	309	3286
86	310	3257
87	312	3239
88	314	3223
89	317	3207
90	319	3186
91	320	3163
92	321	3138
93	323	3116
94	324	3094
95	326	3071
96	327	3047
97	329	3035
98	331	3016
99	333	2998
100	334	2977
101	335	2950
102	336	2926
103	337	2905
104	338	2883
105	339	2861
106	340	2839
107	341	2819
108	342	2800
109	345	2796
110	346	2778
111	347	2758
112	348	2738
113	350	2720
114	351	2702
115	351	2681
116	352	2663
117	353	2645
118	354	2626
119	355	2610
120	357	2595
121	358	2578
122	359	2562
123	360	2546
124	361	2531
125	363	2518
126	364	2503
127	364	2485
128	365	2470
129	366	2454
130	367	2439
131	368	2424
132	369	2411
133	370	2397
134	371	2383
135	372	2368
136	374	2362
137	377	2356
138	384	2382
139	386	2373
140	387	2362
141	393	2375
142	395	2368
143	397	2361
144	397	2346
145	398	2332
146	399	2317
147	400	2303
148	400	2290
149	401	2277
150	402	2264
151	403	2251
152	404	2239
153	405	2228
154	406	2216
155	407	2204
156	408	2192
157	409	2180
158	410	2169
159	410	2157
160	411	2145
161	412	2133
162	413	2121
163	414	2110
164	415	2101
165	416	2090
166	417	2080
167	418	2070
168	419	2060
169	421	2058
170	423	2051
171	424	2041
172	425	2031
173	425	2021
174	426	2012
175	428	2004
176	429	1995
177	429	1985
178	431	1977
179	431	1967
180	432	1955
181	433	1947
182	434	1939
183	435	1932
184	436	1925
185	437	1916
186	438	1908
187	440	1901
188	441	1893
189	442	1885
190	443	1877
191	444	1868
192	444	1860
193	445	1852
194	447	1845
195	447	1837
196	448	1828
